VARIABLE,LABEL,IGNORE,VALUE_RANGE
V172,How frequently do the following things occur in your neighborhood: Alcohol consumed in the streets,,"1##Very Frequently
2##Quite frequently
3##Not frequently
4##Not at all frequently
-5##DE,SE:Inapplicable ; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V173,How frequently do the following things occur in your neighborhood: Police or military interfere with people’s private life,,"1##Very Frequently
2##Quite frequently
3##Not frequently
4##Not at all frequently
-5##SE:Inapplicable ; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V174,How frequently do the following things occur in your neighborhood: Racist behavior,,"1##Very Frequently
2##Quite frequently
3##Not frequently
4##Not at all frequently
-5##DE,SE:Inapplicable ; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V175,How frequently do the following things occur in your neighborhood: Drug sale in streets,,"1##Very Frequently
2##Quite frequently
3##Not frequently
4##Not at all frequently
-5##DE,SE:Inapplicable ; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V176,Things done for reasons of security: Didn’t carry much money,,"1##Yes
5##No
-5##DE,SE:Inapplicable ; RU:Inappropriate response; BH: Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V177,Things done for reasons of security: Preferred not to go out at night,,"1##Yes
5##No
-5##DE,SE:Inapplicable ; RU:Inappropriate response; BH: Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V178,"Things done for reasons of security: Carried a knife, gun or other weapon",,"1##Yes
5##No
-5##Missing; RU,DE: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V179,Respondent was victim of a crime during the past year,,"1##Yes
5##No
-5##BH: Missing; Unknown{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V180,Respondent's family was victim of a crime during last year,,"1##Yes
5##No
-5##DE,SE:Inapplicable ; BH: Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V181,Worries: Losing my job or not finding a job,,"1##Very much
2##A great deal
3##Not much
4##Not at all
-5##BH: Missing;DE: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Inapplicable (Neither has, nor seeks a job){Inapplicable}
-2##No answer
-1##Don´t know
"
V182,Worries: Not being able to give one's children a good education,,"1##Very much
2##A great deal
3##Not much
4##Not at all
-5##BH: Missing; Unknown{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V183,Worries: A war involving my country,,"1##Very much
2##A great deal
3##Not much
4##Not at all
-5##DE,SE:Inapplicable ; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V184,Worries: A terrorist attack,,"1##Very much
2##A great deal
3##Not much
4##Not at all
-5##DE:Inapplicable; Missing; Unknown{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V185,Worries: A civil war,,"1##Very much
2##A great deal
3##Not much
4##Not at all
-5##DE:Inapplicable; Missing; Unknown{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V186,Worries: Government wire-tapping or reading my mail or email,,"1##Very much
2##A great deal
3##Not much
4##Not at all
-5##DE,SE:Inapplicable; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V187,"Under some conditions, war is necessary to obtain justice",,"1##Agree
2##Disagree
-5##DE,SE:Inapplicable ; RU:Inappropriate response; BH: Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V188,"In the last 12 month, how often have you or your family: Gone without enough food to eat",,"1##Often
2##Sometimes
3##Rarely
4##Never
-5##DE:Inapplicable; Missing; Unknown{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don't know
"
V189,"In the last 12 month, how often have you or your family: Felt unsafe from crime in your own home",,"1##Often
2##Sometimes
3##Rarely
4##Never
-5##DE:Inapplicable; Missing; Unknown{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don't know
"
V190,"In the last 12 month, how often have you or your family: Gone without needed medicine or treatment that you needed",,"1##Often
2##Sometimes
3##Rarely
4##Never
-5##DE,SE:Inapplicable ; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don't know
"
V191,"In the last 12 month, how often have you or your family: Gone without a cash income",,"1##Often
2##Sometimes
3##Rarely
4##Never
-5##DE:Inapplicable; Missing; Unknown{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don't know
"
V192,"Science and technology are making our lives healthier, easier, and more comfortable",,"1##Completely disagree
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Completely agree
-5##SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V193,"Because of science and technology, there will be more opportunities for the next generation",,"1##Completely disagree
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Completely agree
-5##SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V194,We depend too much on science and not enough on faith,,"1##Completely disagree
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Completely agree
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V195,One of the bad effects of science is that it breaks down people’s ideas of right and wrong,,"1##Completely disagree
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Completely agree
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V196,It is not important for me to know about science in my daily life,,"1##Completely disagree
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Completely agree
-5##DE:Inapplicable; Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V197,"The world is better off, or worse off, because of science and technology",,"1##A lot worse off
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##A lot better off
-5##SE:Inapplicable ; RU:Inappropriate response;  Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V198,Justifiable: Claiming government benefits to which you are not entitled,,"1##Never justifiable
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Always justifiable
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V199,Justifiable: Avoiding a fare on public transport,,"1##Never justifiable
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Always justifiable
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V200,Justifiable: Stealing property,,"1##Never justifiable
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Always justifiable
-5##DE:Inapplicable; Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V201,Justifiable: Cheating on taxes if you have a chance,,"1##Never justifiable
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Always justifiable
-5##SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V202,Justifiable: Someone accepting a bribe in the course of their duties,,"1##Never justifiable
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Always justifiable
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V203,Justifiable: Homosexuality,,"1##Never justifiable
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Always justifiable
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V203A,Justifiable: Prostitution,,"1##Never justifiable
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Always justifiable
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V204,Justifiable: Abortion,,"1##Never justifiable
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Always justifiable
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-5##Missing; RU: Inappropriate response
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V205,Justifiable: Divorce,,"1##Never justifiable
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Always justifiable
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V206,Justifiable: Sex before marriage,,"1##Never justifiable
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Always justifiable
-5##DE,EC,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V207,Justifiable: Suicide,,"1##Never justifiable
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Always justifiable
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V207A,Justifiable: Euthanasia,,"1##Never justifiable
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Always justifiable
-5##EC,SE:Inapplicable ; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V208,Justifiable: For a man to beat his wife,,"1##Never justifiable
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Always justifiable
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V209,Justifiable: Parents beating children,,"1##Never justifiable
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Always justifiable
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V210,Justifiable: Violence against other people,,"1##Never justifiable
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Always justifiable
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V211,How proud of nationality,,"1##Very proud
2##Quite proud
3##Not very proud
4##Not at all proud
5##I am not [nationality]
-5##DE,SE:Inapplicable ; RU:Inappropriate response; BH: Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V212,I see myself as a world citizen,,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##DE:Inapplicable; Missing; RU: Inappropriate respons{Inappropriate}e
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V213,I see myself as part of my local community,,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V214,I see myself as part of the [country] nation,,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V215_01,I see myself as citizen of the [European Union],,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##DE,SE:Inapplicable ; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V215_02,I see myself as citizen of the [APEC],,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V215_03,I see myself as part of the [Northeast Asia Region],,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V215_04,I see myself as part of [The Caribbean],,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V215_05,I see myself as part of [Arab Maghreb Union],,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V215_06,I see myself as part of the [Arab Union],,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V215_07,I see myself as part of [North America],,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V215_08,I see myself as part of the Latin-American Community,,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V215_10,I see myself as part of [Mercosur],,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V215_11,I see myself as part of [CIS],,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V215_12,I see myself as part of [The African Union],,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V215_13,I see myself as part of the [ASEAN],,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##Missing; Unknown; SG: Refused{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V215_14,I see myself as part of ASIA,,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V215_15,I see myself as part of the [UNASUR],,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V215_16,I see myself as part of the [Islamic nation],,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V215_17,I see myself as part of the Cooperation Council for the Arab states of Gulf (GCC),,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V215_18,I see myself as part of  [SAARC],,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V216,I see myself as an autonomous individual,,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V217,Information source: Daily newspaper,,"1##Daily
2##Weekly
3##Monthly
4##Less than monthly
5##Never
-5##DE:Inapplicable; RU: Inappropriate response; Missing{Inappropriate}
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V218,Information source: Printed magazines,,"1##Daily
2##Weekly
3##Monthly
4##Less than monthly
5##Never
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V219,Information source: TV news,,"1##Daily
2##Weekly
3##Monthly
4##Less than monthly
5##Never
-5##SE:Inapplicable ; RU:Inappropriate response; BH: Missing{Inappropriate}
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V220,Information source: Radio news,,"1##Daily
2##Weekly
3##Monthly
4##Less than monthly
5##Never
-5##SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V221,Information source: Mobile phone,,"1##Daily
2##Weekly
3##Monthly
4##Less than monthly
5##Never
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V222,Information source: Email,,"1##Daily
2##Weekly
3##Monthly
4##Less than monthly
5##Never
-5##DE,EC,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V223,Information source: Internet,,"1##Daily
2##Weekly
3##Monthly
4##Less than monthly
5##Never
-5##DE,EC,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V224,Information source: Talk with friends or colleagues,,"1##Daily
2##Weekly
3##Monthly
4##Less than monthly
5##Never
-5##SE:Inapplicable ; RU:Inappropriate response; BH: Missing{Inappropriate}
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V218_ESMA,"Used last week: Printed magazines (ES,MA)",,"724001##Used last week
724002##Did not use last week
-5##Missing; Unknown
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V217_ESMA,"Used last week: Daily newspaper (ES,MA)",,"724001##Used last week
724002##Did not use last week
-5##Missing; Unknown
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V219_ESMA,"Used last week: TV news (ES,MA)",,"724001##Used last week
724002##Did not use last week
-5##Missing; Unknown
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V220_ESMA,"Used last week: Radio news (ES,MA)",,"724001##Used last week
724002##Did not use last week
-5##Missing; Unknown
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V221_ESMA,"Used last week: Mobile phone (ES,MA)",,"724001##Used last week
724002##Did not use last week
-5##Missing; Unknown
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V222_ESMA,"Used last week: Email (ES,MA)",,"724001##Used last week
724002##Did not use last week
-5##Missing; Unknown
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V223_ESMA,"Used last week: Internet (ES,MA)",,"724001##Used last week
724002##Did not use last week
-5##Missing; Unknown
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V224_ESMA,"Used last week: Talk with friends or colleagues (ES,MA)",,"724001##Used last week
724002##Did not use last week
-5##Missing; Unknown
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V225,How often use of a personal computer,,"1##Never
2##Occasionally
3##Frequently
4##Don´t know what a computer is
-5##DE,EC:Inapplicable; BH: Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V226,Vote in elections: local level,,"1##Always
2##Usually
3##Never
-5##SE:Inapplicable ; RU:Inappropriate response; BH: Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V227,Vote in elections: National level,,"1##Always
2##Usually
3##Never
-5##BH: Missing; RU: Inappropriate response SG: Refused{Inappropriate}
-4##Not asked in survey
-3##Not applicable; No right to vote
-2##No answer
-1##Don´t know
"
V228,Which party would you vote for if there were a national election tomorrow,,CS Codes
V228_2,Which party would you vote for if there were a national election tomorrow (2nd choice - optional),,CS Codes
V228A,How often in country's elections: Votes are counted fairly,,"1##Very often
2##Fairly often
3##Not often
4##Not at all often
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V228B,How often in country's elections: Opposition candidates are prevented from running,,"1##Very often
2##Fairly often
3##Not often
4##Not at all often
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V228C,How often in country's elections: TV news favors the governing party,,"1##Very often
2##Fairly often
3##Not often
4##Not at all often
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V228D,How often in country's elections: Voters are bribed,,"1##Very often
2##Fairly often
3##Not often
4##Not at all often
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V228E,How often in country's elections: Journalists provide fair coverage of elections,,"1##Very often
2##Fairly often
3##Not often
4##Not at all often
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V228F,How often in country's elections: Election officials are fair,,"1##Very often
2##Fairly often
3##Not often
4##Not at all often
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V228G,How often in country's elections: Rich people buy elections,,"1##Very often
2##Fairly often
3##Not often
4##Not at all often
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V228H,How often in country's elections: Voters are threatened with  violence at the polls,,"1##Very often
2##Fairly often
3##Not often
4##Not at all often
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V228I,How often in country's elections: Voters are offered a genuine choice in the elections,,"1##Very often
2##Fairly often
3##Not often
4##Not at all often
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V228J,Degree of importance: having honest elections makes a lot of difference in you and your family's lives,,"1##Very important
2##Rather important
3##Not very important
4##Not at all important
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V228K,Importance of having honest elections in whether or not this country develops economically,,"1##Very important
2##Rather important
3##Not very important
4##Not at all important
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V229,Employment status,,"1##Full time
2##Part time
3##Self employed
4##Retired
5##Housewife
6##Students
7##Unemployed
8##Other
-5##Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked
-3##Not applicable
-2##No answer;SG: Refused
-1##Don´t know
"
V230,Sector of employment,,"1##Government or public institution
2##Private business or industry
3##Private non-profit organization
4##MX, EC: Autonomous/Informal sector; PE, CH: Other
-5##SE:Inapplicable ; SG: Refused; BH: Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable (Have never worked;Currently does not work){Not applicable}
-2##No answer
-1##Don´t know
"
V231,Nature of tasks: manual vs. intellectual,,"1##Mostly manual tasks
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Mostly non-manual tasks
-5##BH: Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable (Have never worked;Non active persons){Not applicable}
-2##No answer
-1##Don´t know
"
V232,Nature of tasks: routine vs. creative,,"1##Mostly routine tasks
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Mostly not routine tasks
-5##Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable (Have never worked;Non active persons){Not applicable}
-2##No answer
-1##Don´t know
"
V233,Nature of tasks: independence,,"1##No independence at all
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Complete independence
-5##BH: Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable (Have never worked){Not applicable}
-2##No answer
-1##Don´t know
"
V234,Are you supervising someone,,"1##Yes
2##No
-5##Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked
-3##Not applicable (Have never worked){Not applicable}
-2##No answer
-1##Don´t know
"
V235,Are you the chief wage earner in your house,,"1##Yes
2##No
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V236,Is the chief wage earner employed now or not,,"1##Yes
2##No
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked
-3##Not applicable;Respondent is the chief wage earner{Not applicable}
-2##No answer
-1##Don´t know
"
V237,Family savings during past year,,"1##Save money
2##Just get by
3##Spent some savings and borrowed money
4##Spent savings and borrowed money
-5##DE,SE:Inapplicable ; RU:Inappropriate response; BH: Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V238,Social class (subjective),,"1##Upper class
2##Upper middle class
3##Lower middle class
4##Working class
5##Lower class
-5##SE:Inapplicable ; RU:Inappropriate response; BH: Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V239,Scale of incomes,,"1##Lower step
2##second step
3##Third step
4##Fourth step
5##Fifth step
6##Sixth step
7##Seventh step
8##Eigth step
9##Nineth step
10##Tenth step
-5##DE,SE:Inapplicable ; RU:Inappropriate response; BH: Missing{Inappropriate}
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V240,Sex,,"1##Male
2##Female
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V241,Year of birth,,"1900#1909#1900-1909
1910#1919#1910-1919
1920#1929#1920-1929
1930#1939#1930-1939
1940#1949#1940-1949
1950#1959#1950-1959
1960#1969#1960-1969
1970#1979#1970-1979
1980#1989#1980-1989
1990#1999#1990-1999
2000#2010#2000-2010
-5##Missing; Unknown; SG: Refused{Missing}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V242,Age,,"10#29#Up to 29
30#49#30-49
50#99#50 and more
-5##Missing; Unknown SG: Refused{Missing}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V243,Mother immigrant,,"1##Immigrant
2##Not an immigrant
-5##AM,DE,SE:Inapplicable ; RU:Inappropriate response; BH: Missing{Inappropriate}
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
